algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
faiss-ivf,"FaissIVF(n_list=32, n_probe=1)",10,0.61566,0.65706,0.9206,0.0904183709596538,899.9765130450445,1.0883808135986328,1.8165946006774891,2.248780727386475,2.7885687351226855,41753.55636,0.8922519683837891,10.0,647100.0,719.0187639570236,glove-100-angular
faiss-ivf,"FaissIVF(n_list=32, n_probe=10)",10,0.96234,0.98328,0.99975,0.08600545678101373,98.08688980365524,10.385870933532715,15.174150466918945,17.507653236389164,20.06079363822942,395743.1182,0.8922519683837891,10.0,647100.0,6597.211934187413,glove-100-angular
faiss-ivf,"FaissIVF(n_list=32, n_probe=100)",10,1.0,1.0,1.0,0.08574169233209256,33.67228488936145,29.76357936859131,38.36522102355957,44.277801513671875,49.422832727432315,1183546.0,0.8922519683837891,10.0,647100.0,19217.585088930133,glove-100-angular
faiss-ivf,"FaissIVF(n_list=32, n_probe=200)",10,1.0,1.0,1.0,0.08574169233318513,33.675142163491856,29.359817504882812,34.649538993835435,40.03460168838501,46.787368535995505,1183546.0,0.8922519683837891,10.0,647100.0,19215.95451203585,glove-100-angular
faiss-ivf,"FaissIVF(n_list=32, n_probe=5)",10,0.89305,0.9309499999999999,0.99755,0.08656231255437764,194.57568524192732,5.198836326599121,7.68977403640747,9.267871379852297,10.770330905914308,199100.6075,0.8922519683837891,10.0,647100.0,3325.6981682753567,glove-100-angular
faiss-ivf,"FaissIVF(n_list=32, n_probe=50)",10,1.0,1.0,1.0,0.08574169233318513,33.81136927461128,30.284523963928223,40.71253538131712,46.572570800781264,54.257033824920676,1183546.0,0.8922519683837891,10.0,647100.0,19138.5328036952,glove-100-angular
faiss-ivf,"FaissIVF(n_list=8192, n_probe=1)",10,0.29855,0.32025000000000003,0.60961,0.09816853371233333,6433.197679492609,0.1423358917236328,0.24772882461547835,0.38790941238403326,0.7796323299407967,8371.4497,360.0067081451416,10.0,653628.0,101.6023496500969,glove-100-angular
faiss-ivf,"FaissIVF(n_list=8192, n_probe=10)",10,0.63495,0.67707,0.9611700000000001,0.08927982533732459,4934.932791416428,0.18835067749023438,0.27753114700317366,0.4890131950378422,0.9634556770324719,9839.7727,360.0067081451416,10.0,653628.0,132.44922020759583,glove-100-angular
faiss-ivf,"FaissIVF(n_list=8192, n_probe=100)",10,0.85542,0.89635,0.99986,0.0866677539321092,1519.640179345123,0.6339550018310547,1.0082840919494627,1.316578388214112,2.018462181091311,22571.7339,360.0067081451416,10.0,653628.0,430.1202408860207,glove-100-angular
faiss-ivf,"FaissIVF(n_list=8192, n_probe=200)",10,0.90242,0.9390599999999999,0.99997,0.08631053994753282,896.7163085245905,1.0833740234375,1.5695452690124507,1.9992280006408711,3.8293707370758323,35734.1452,360.0067081451416,10.0,653628.0,728.9128052945138,glove-100-angular
faiss-ivf,"FaissIVF(n_list=8192, n_probe=5)",10,0.54574,0.58384,0.9055899999999999,0.09086049889748146,5600.111833898355,0.1628398895263672,0.2551078796386719,0.45093536376953314,1.2749314308166722,9044.1237,360.0067081451416,10.0,653628.0,116.71695483713151,glove-100-angular
faiss-ivf,"FaissIVF(n_list=8192, n_probe=50)",10,0.8013,0.84494,0.99908,0.08716764569674519,2444.8386109613393,0.3864765167236328,0.5879402160644531,0.8418583869934082,1.3094174861908006,15705.4101,360.0067081451416,10.0,653628.0,267.3501625299454,glove-100-angular
flann,FLANN(target_precision=0.970000),10,0.96997,0.98898,0.9999800000000001,0.0859102299599801,36.474165296745355,26.25107765197754,36.37689352035522,40.472798347473145,46.002327442169225,0.0,5791.00695681572,10.0,610780.0,16745.5511327219,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 10)",10,0.30973,0.33195,0.60926,0.09984738701335955,10691.537346422252,0.09179115295410156,0.12637376785278304,0.18286705017089844,0.32091999053955256,0.0,1524.2641644477844,10.0,728572.0,68.14473694410324,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 120)",10,0.82101,0.8603999999999999,0.99658,0.08712801008439842,2743.203786628747,0.35881996154785156,0.47733783721923795,0.6227564811706544,0.8626503944397078,0.0,1524.2641644477844,10.0,728572.0,265.5916427176476,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 20)",10,0.49698000000000003,0.53067,0.82164,0.09329202814585898,8353.380125335436,0.11467933654785156,0.1480579376220703,0.2338886260986328,0.3473761081695557,0.0,1524.2641644477844,10.0,728572.0,87.2188250825882,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 200)",10,0.8670899999999999,0.90432,0.9994999999999999,0.08666536061183953,1763.6044082205256,0.5733966827392578,0.7979869842529297,0.9462857246398926,1.1677775382995612,0.0,1524.2641644477844,10.0,728572.0,413.11532030878067,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 40)",10,0.65654,0.6965399999999999,0.9416499999999999,0.08961337869743484,5886.8176421621665,0.164031982421875,0.20766258239746094,0.31423807144165045,0.4289171695709233,0.0,1524.2641644477844,10.0,728572.0,123.7633037554741,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 400)",10,0.91341,0.94604,0.9999399999999999,0.08629290367621761,930.2619790716428,1.0700225830078125,1.3752102851867674,1.5442371368408203,1.7762262821197525,0.0,1524.2641644477844,10.0,728572.0,783.1901296525955,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 600)",10,0.93361,0.96343,1.0,0.08615464770931305,609.2753546472929,1.6683340072631836,2.1011948585510254,2.3153257369995126,2.8720688819885414,0.0,1524.2641644477844,10.0,728572.0,1195.800871383953,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 80)",10,0.7727,0.81318,0.98891,0.08771636239277131,3780.6641786759856,0.2675056457519531,0.33974647521972656,0.46015262603759777,0.5860373973846444,0.0,1524.2641644477844,10.0,728572.0,192.7100545214653,glove-100-angular
hnsw(faiss),"faiss ({'M': 12, 'efConstruction': 500}, ef: 800)",10,0.94601,0.97303,1.0,0.08608122644897406,430.3454098580309,2.449512481689453,3.0939698219299316,3.361716270446778,3.894100904464724,0.0,1524.2641644477844,10.0,728572.0,1692.9935426529883,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 10)",10,0.37142,0.39875,0.71088,0.09632515324371006,9439.262053541086,0.10037422180175781,0.14066696166992188,0.23842334747314464,0.37241482734680276,0.0,1896.9677863121033,10.0,778264.0,82.44966561851503,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 120)",10,0.85749,0.8960000000000001,0.9996,0.08670393058658986,2227.859041878643,0.43582916259765625,0.6020307540893551,0.737435817718506,0.9861001968383791,0.0,1896.9677863121033,10.0,778264.0,349.3326935728073,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 20)",10,0.56136,0.59975,0.89365,0.0911161752222363,7199.643099357315,0.1392364501953125,0.19478797912597656,0.31472444534301786,0.4572906494140633,0.0,1896.9677863121033,10.0,778264.0,108.0975805688858,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 200)",10,0.89922,0.9345800000000001,0.99997,0.08635915483697333,1509.7820776371298,0.67138671875,0.9117245674133299,1.0979294776916506,1.3964188098907473,0.0,1896.9677863121033,10.0,778264.0,515.4810164510727,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 40)",10,0.7117600000000001,0.7539,0.9767699999999999,0.08839683430822064,5056.5755311310095,0.18930435180664062,0.25725364685058594,0.3855276107788087,0.5433609485626231,0.0,1896.9677863121033,10.0,778264.0,153.911277545166,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 400)",10,0.9402799999999999,0.96867,1.0,0.08607729847610346,770.99535270922,1.2972354888916016,1.7032623291015625,1.9328808784484868,2.3567905426025435,0.0,1896.9677863121033,10.0,778264.0,1009.4276149204253,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 600)",10,0.9582499999999999,0.9819599999999999,1.0,0.08596856750076813,502.9730339173042,1.9730329513549805,2.528464794158935,2.825744152069092,3.3094892501831055,0.0,1896.9677863121033,10.0,778264.0,1547.3274858070374,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 80)",10,0.8153600000000001,0.8556699999999999,0.9974299999999999,0.08711341404060256,3233.9972879261827,0.2994537353515625,0.3981709480285643,0.5211853981018066,0.6985731124877943,0.0,1896.9677863121033,10.0,778264.0,240.65078932056426,glove-100-angular
hnsw(faiss),"faiss ({'M': 16, 'efConstruction': 500}, ef: 800)",10,0.96822,0.9881399999999999,1.0,0.08591186662203483,371.08503362570605,2.735733985900879,3.500723838806152,3.8650059700012207,4.454629182815555,0.0,1896.9677863121033,10.0,778264.0,2097.2659349689484,glove-100-angular
hnsw(faiss),"faiss ({'M': 24, 'efConstruction': 500}, ef: 10)",10,0.43301,0.46502,0.80916,0.09351659036272172,8318.456790196911,0.11587142944335938,0.15234947204589844,0.22840976715087902,0.3633508682250979,0.0,2554.143201828003,10.0,855500.0,102.84359486103058,glove-100-angular
hnsw(faiss),"faiss ({'M': 24, 'efConstruction': 500}, ef: 120)",10,0.89444,0.93073,0.99997,0.08635372788404803,1843.7754866232003,0.5598068237304688,0.7782101631164549,0.9193515777587893,1.142776727676399,0.0,2554.143201828003,10.0,855500.0,463.99358609914776,glove-100-angular
hnsw(faiss),"faiss ({'M': 24, 'efConstruction': 500}, ef: 20)",10,0.62501,0.66791,0.95342,0.08946023684145762,6322.134791288205,0.156402587890625,0.21123886108398438,0.31522512435913164,0.4377424716949475,0.0,2554.143201828003,10.0,855500.0,135.31821579933168,glove-100-angular
hnsw(faiss),"faiss ({'M': 24, 'efConstruction': 500}, ef: 200)",10,0.93191,0.96247,1.0,0.0861015650774367,1201.507235147515,0.8344650268554688,1.107931137084961,1.2677001953125007,1.5118145942687993,0.0,2554.143201828003,10.0,855500.0,712.0223457455635,glove-100-angular
hnsw(faiss),"faiss ({'M': 24, 'efConstruction': 500}, ef: 40)",10,0.76483,0.8084199999999999,0.9950699999999999,0.08752549137104175,4330.4556921903095,0.23174285888671875,0.3008842468261719,0.41890621185302745,0.5698223114013676,0.0,2554.143201828003,10.0,855500.0,197.5542669892311,glove-100-angular
